"N° DM","LIGNE","N°BL","Article","Quantité","CHANTIER","Date livraison","INTITULER","EE","RECEPTION"
"26-0006445","26-0006445/16/1","00124513","08805330","10","LUC","13/03/2026","ETRIER  ""L = 0_230M""      5005","LUC",""
"26-0006445","26-0006445/17/1","00124513","08805331","10","LUC","13/03/2026","ETRIER  ""L = 0_235M""      5005","LUC",""
"26-0006445","26-0006445/18/1","00124513","08805332","10","LUC","13/03/2026","ETRIER  ""L = 0_240M""      5005","LUC",""
"26-0006445","26-0006445/19/1","00124513","08805333","10","LUC","13/03/2026","ETRIER  ""L = 0_245M""      5005","LUC",""
"26-0006445","26-0006445/2/1","00124513","08805315","10","LUC","13/03/2026","ETRIER  ""L = 0_155M""      5005","LUC",""
"26-0006445","26-0006445/20/1","00124513","08805334","10","LUC","13/03/2026","ETRIER  ""L = 0_250M""      5005","LUC",""
"26-0006445","26-0006445/21/1","00124513","08805335","10","LUC","13/03/2026","ETRIER  ""L = 0_255M""      5005","LUC",""
"26-0006445","26-0006445/22/1","00124513","08805336","10","LUC","13/03/2026","ETRIER  ""L = 0_260M""      5005","LUC",""
"26-0006445","26-0006445/23/1","00124513","08805337","10","LUC","13/03/2026","ETRIER  ""L = 0_265M""      5005","LUC",""
"26-0006445","26-0006445/24/1","00124513","08805338","10","LUC","13/03/2026","ETRIER  ""L = 0_270M""      5005","LUC",""
"26-0006445","26-0006445/25/1","00124513","08805339","10","LUC","13/03/2026","ETRIER  ""L = 0_275M""      5005","LUC",""
"26-0006445","26-0006445/26/1","00124513","08805340","10","LUC","13/03/2026","ETRIER  ""L = 0_280M""      5005","LUC",""
"26-0006445","26-0006445/27/1","00124513","08805341","10","LUC","13/03/2026","ETRIER  ""L = 0_285M""      5005","LUC",""
"26-0006445","26-0006445/28/1","00124513","08805342","10","LUC","13/03/2026","ETRIER  ""L = 0_290M""      5005","LUC",""
